Peak.ID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
EZH2_PeakRegion_01018	chr2	52857001	52860799	+	0	NA	TTS (ENSMUST00000181380)	-TTS (ENSMUST00000181380)	1032	ENSMUST00000049483	ENSMUSG00000036053	ENSMUST00000134459	NA	ENSMUSG00000036053	Fmnl2	NA	formin-like 2 [Source:MGI Symbol;Acc:MGI:1918659]	protein_coding
EZH2_PeakRegion_04958	chr7	79513601	79522599	+	0	NA	exon (ENSMUST00000195696, exon 1 of 1)	-exon (ENSMUST00000195696, exon 1 of 1)	1218	ENSMUST00000195696	ENSMUSG00000103831	ENSMUST00000195696	NA	ENSMUSG00000103831	Gm37608	NA	predicted gene, 37608 [Source:MGI Symbol;Acc:MGI:5610836]	TEC
EZH2_PeakRegion_04594	chr7	19117801	19120599	+	0	NA	promoter-TSS (ENSMUST00000053109)	-promoter-TSS (ENSMUST00000053109)	-659	ENSMUST00000053109	ENSMUSG00000050428	ENSMUST00000053109	NA	ENSMUSG00000050428	Fbxo46	NA	F-box protein 46 [Source:MGI Symbol;Acc:MGI:2444918]	protein_coding
EZH2_PeakRegion_07136	chr10	80489001	80506399	+	0	NA	intron (ENSMUST00000051773, intron 1 of 1)	-intron (ENSMUST00000051773, intron 1 of 1)	2865	ENSMUST00000051773	ENSMUSG00000045518	ENSMUST00000051773	NA	ENSMUSG00000045518	Onecut3	NA	one cut domain, family member 3 [Source:MGI Symbol;Acc:MGI:1891409]	protein_coding
EZH2_PeakRegion_09153	chr13	43300601	43308399	+	0	NA	promoter-TSS (ENSMUST00000055341)	-promoter-TSS (ENSMUST00000055341)	-328	ENSMUST00000055341	ENSMUSG00000051335	ENSMUST00000055341	NA	ENSMUSG00000051335	Gfod1	NA	glucose-fructose oxidoreductase domain containing 1 [Source:MGI Symbol;Acc:MGI:2145304]	protein_coding
EZH2_PeakRegion_10552	chr16	28751001	28753799	+	0	NA	Intergenic	Intergenic	-152357	ENSMUST00000102110	ENSMUSG00000076064	ENSMUST00000102110	NA	ENSMUSG00000076064	Mir690	NA	microRNA 690 [Source:MGI Symbol;Acc:MGI:3629929]	miRNA
EZH2_PeakRegion_12362	chrX	153497601	153500399	+	0	NA	exon (ENSMUST00000060714, exon 1 of 1)	-exon (ENSMUST00000060714, exon 1 of 1)	773	ENSMUST00000060714	ENSMUSG00000050148	ENSMUST00000060714	NA	ENSMUSG00000050148	Ubqln2	NA	ubiquilin 2 [Source:MGI Symbol;Acc:MGI:1860283]	protein_coding
EZH2_PeakRegion_02336	chr4	46450401	46453599	+	0	NA	intron (ENSMUST00000102926, intron 1 of 6)	-intron (ENSMUST00000102926, intron 1 of 6)	1098	ENSMUST00000102926	ENSMUSG00000028333	ENSMUST00000102926	NA	ENSMUSG00000028333	Anp32b	NA	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:MGI Symbol;Acc:MGI:1914878]	protein_coding
EZH2_PeakRegion_09922	chr15	35155001	35156399	+	0	NA	promoter-TSS (ENSMUST00000067033)	-promoter-TSS (ENSMUST00000067033)	-31	ENSMUST00000138841	ENSMUSG00000022329	ENSMUST00000128425	NA	ENSMUSG00000022329	Stk3	NA	serine/threonine kinase 3 [Source:MGI Symbol;Acc:MGI:1928487]	protein_coding
EZH2_PeakRegion_05512	chr8	36245401	36248399	+	0	NA	intron (ENSMUST00000065297, intron 1 of 11)	-intron (ENSMUST00000065297, intron 1 of 11)	2616	ENSMUST00000065297	ENSMUSG00000039633	ENSMUST00000065297	NA	ENSMUSG00000039633	Lonrf1	NA	LON peptidase N-terminal domain and ring finger 1 [Source:MGI Symbol;Acc:MGI:3609241]	protein_coding
EZH2_PeakRegion_02460	chr4	101354001	101359999	+	0	NA	promoter-TSS (ENSMUST00000144604)	-promoter-TSS (ENSMUST00000144604)	-265	ENSMUST00000189920	ENSMUSG00000086782	ENSMUST00000144604	NA	ENSMUSG00000086782	E130102H24Rik	NA	RIKEN cDNA E130102H24 gene [Source:MGI Symbol;Acc:MGI:1925116]	lincRNA
EZH2_PeakRegion_03818	chr5	142471401	142472199	+	0	NA	intron (ENSMUST00000038699, intron 9 of 16)	-intron (ENSMUST00000038699, intron 9 of 16)	7869	ENSMUST00000038699	ENSMUSG00000039623	ENSMUST00000038699	NA	ENSMUSG00000039623	Ap5z1	NA	adaptor-related protein complex 5, zeta 1 subunit [Source:MGI Symbol;Acc:MGI:1924908]	protein_coding
EZH2_PeakRegion_05102	chr7	105578401	105582399	+	0	NA	intron (ENSMUST00000188726, intron 1 of 2)	-intron (ENSMUST00000188440, intron 1 of 8)	788	ENSMUST00000188726	ENSMUSG00000037032	ENSMUST00000187051	NA	ENSMUSG00000037032	Apbb1	NA	amyloid beta (A4) precursor protein-binding, family B, member 1 [Source:MGI Symbol;Acc:MGI:107765]	protein_coding
EZH2_PeakRegion_01327	chr2	130449401	130451799	+	0	NA	promoter-TSS (ENSMUST00000077303)	-promoter-TSS (ENSMUST00000077303)	56	ENSMUST00000077303	ENSMUSG00000027303	ENSMUST00000077303	NA	ENSMUSG00000027303	Ptpra	NA	protein tyrosine phosphatase, receptor type, A [Source:MGI Symbol;Acc:MGI:97808]	protein_coding
EZH2_PeakRegion_12020	chr19	44265001	44268599	+	0	NA	Intergenic	Intergenic	-26876	ENSMUST00000026221	ENSMUSG00000025203	ENSMUST00000026221	NA	ENSMUSG00000025203	Scd2	NA	stearoyl-Coenzyme A desaturase 2 [Source:MGI Symbol;Acc:MGI:98240]	protein_coding
EZH2_PeakRegion_11947	chr19	28962801	28965999	+	0	NA	promoter-TSS (ENSMUST00000025872)	-promoter-TSS (ENSMUST00000025872)	-246	ENSMUST00000025872	ENSMUSG00000064202	ENSMUST00000160542	NA	ENSMUSG00000064202	4430402I18Rik	NA	RIKEN cDNA 4430402I18 gene [Source:MGI Symbol;Acc:MGI:1918036]	protein_coding
EZH2_PeakRegion_11319	chr17	84956201	84960999	+	0	NA	promoter-TSS (ENSMUST00000181147)	-promoter-TSS (ENSMUST00000181147)	599	ENSMUST00000080217	ENSMUSG00000061130	ENSMUST00000112305	NA	ENSMUSG00000061130	Ppm1b	NA	protein phosphatase 1B, magnesium dependent, beta isoform [Source:MGI Symbol;Acc:MGI:101841]	protein_coding
EZH2_PeakRegion_09440	chr13	110391601	110403999	+	0	NA	exon (ENSMUST00000022212, exon 7 of 14)	-exon (ENSMUST00000022212, exon 7 of 14)	2756	ENSMUST00000022212	ENSMUSG00000021701	ENSMUST00000022212	NA	ENSMUSG00000021701	Plk2	NA	polo like kinase 2 [Source:MGI Symbol;Acc:MGI:1099790]	protein_coding
EZH2_PeakRegion_04085	chr6	56796401	56798599	+	0	NA	promoter-TSS (ENSMUST00000124994)	-promoter-TSS (ENSMUST00000124994)	-221	ENSMUST00000151308	ENSMUSG00000059486	ENSMUST00000151308	NA	ENSMUSG00000059486	Kbtbd2	NA	kelch repeat and BTB (POZ) domain containing 2 [Source:MGI Symbol;Acc:MGI:2384811]	protein_coding
EZH2_PeakRegion_09696	chr14	64439201	64441999	+	0	NA	intron (ENSMUST00000067927, intron 6 of 10)	-intron (ENSMUST00000067927, intron 6 of 10)	15303	ENSMUST00000067927	ENSMUSG00000054733	ENSMUST00000067927	NA	ENSMUSG00000054733	Msra	NA	methionine sulfoxide reductase A [Source:MGI Symbol;Acc:MGI:106916]	protein_coding
EZH2_PeakRegion_10785	chr17	6781601	6783799	+	0	NA	promoter-TSS (ENSMUST00000064234)	-promoter-TSS (ENSMUST00000064234)	84	ENSMUST00000064234	ENSMUSG00000052397	ENSMUST00000131131	NA	ENSMUSG00000052397	Ezr	NA	ezrin [Source:MGI Symbol;Acc:MGI:98931]	protein_coding
EZH2_PeakRegion_08512	chr12	5370201	5377599	+	0	NA	intron (ENSMUST00000020958, intron 1 of 13)	-intron (ENSMUST00000020958, intron 1 of 13)	1782	ENSMUST00000020958	ENSMUSG00000020627	ENSMUST00000020958	NA	ENSMUSG00000020627	Klhl29	NA	kelch-like 29 [Source:MGI Symbol;Acc:MGI:2683857]	protein_coding
EZH2_PeakRegion_06850	chr10	13964401	13969199	+	0	NA	promoter-TSS (ENSMUST00000185392)	-promoter-TSS (ENSMUST00000185392)	154	ENSMUST00000186989	ENSMUSG00000015501	ENSMUST00000186989	NA	ENSMUSG00000015501	Hivep2	NA	human immunodeficiency virus type I enhancer binding protein 2 [Source:MGI Symbol;Acc:MGI:1338076]	protein_coding
EZH2_PeakRegion_08797	chr12	86879601	86899599	+	0	NA	Intergenic	Intergenic	2967	ENSMUST00000181290	ENSMUSG00000097208	ENSMUST00000181290	NA	ENSMUSG00000097208	NA	NA	NA	NA
EZH2_PeakRegion_10624	chr16	37652801	37655799	+	0	NA	exon (ENSMUST00000023514, exon 1 of 3)	-exon (ENSMUST00000023514, exon 1 of 3)	153	ENSMUST00000023514	ENSMUSG00000022820	ENSMUST00000023514	NA	ENSMUSG00000022820	Ndufb4	NA	NADH:ubiquinone oxidoreductase subunit B4 [Source:MGI Symbol;Acc:MGI:1915444]	protein_coding
EZH2_PeakRegion_11489	chr18	36065801	36069999	+	0	NA	intron (ENSMUST00000115713, intron 1 of 9)	-intron (ENSMUST00000115705, intron 2 of 7)	80881	ENSMUST00000175720	ENSMUSG00000024347	ENSMUST00000177432	NA	ENSMUSG00000024347	Psd2	NA	pleckstrin and Sec7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1921252]	protein_coding
EZH2_PeakRegion_03816	chr5	142450001	142461199	+	0	NA	intron (ENSMUST00000072837, intron 8 of 8)	-intron (ENSMUST00000072837, intron 8 of 8)	-8331	ENSMUST00000038699	ENSMUSG00000039623	ENSMUST00000038699	NA	ENSMUSG00000039623	Ap5z1	NA	adaptor-related protein complex 5, zeta 1 subunit [Source:MGI Symbol;Acc:MGI:1924908]	protein_coding
EZH2_PeakRegion_12177	chrX	20687201	20689399	+	0	NA	promoter-TSS (ENSMUST00000033380)	-promoter-TSS (ENSMUST00000033380)	-118	ENSMUST00000033380	ENSMUSG00000031065	ENSMUST00000122944	NA	ENSMUSG00000031065	Cdk16	NA	cyclin-dependent kinase 16 [Source:MGI Symbol;Acc:MGI:97516]	protein_coding
EZH2_PeakRegion_12039	chr19	45219401	45246199	+	0	NA	exon (ENSMUST00000099401, exon 2 of 2)	-exon (ENSMUST00000099401, exon 2 of 2)	3012	ENSMUST00000099401	ENSMUSG00000025216	ENSMUST00000099401	NA	ENSMUSG00000025216	Lbx1	NA	ladybird homeobox 1 [Source:MGI Symbol;Acc:MGI:104867]	protein_coding
EZH2_PeakRegion_08061	chr11	96347401	96355199	+	0	NA	promoter-TSS (ENSMUST00000100523)	-promoter-TSS (ENSMUST00000100523)	-331	ENSMUST00000100523	ENSMUSG00000075588	ENSMUST00000100523	NA	ENSMUSG00000075588	Hoxb2	NA	homeobox B2 [Source:MGI Symbol;Acc:MGI:96183]	protein_coding
EZH2_PeakRegion_11504	chr18	37020601	37021599	+	0	NA	promoter-TSS (ENSMUST00000097612)	-promoter-TSS (ENSMUST00000097612)	-421	ENSMUST00000097612	ENSMUSG00000073594	ENSMUST00000097612	NA	ENSMUSG00000073594	Gm10545	NA	predicted gene 10545 [Source:MGI Symbol;Acc:MGI:3704485]	antisense
EZH2_PeakRegion_09698	chr14	64584801	64596399	+	0	NA	promoter-TSS (ENSMUST00000083663)	-promoter-TSS (ENSMUST00000083663)	-57	ENSMUST00000083663	ENSMUSG00000065597	ENSMUST00000083663	NA	ENSMUSG00000065597	Mir124a-1	NA	microRNA 124a-1 [Source:MGI Symbol;Acc:MGI:2676807]	miRNA
EZH2_PeakRegion_02687	chr4	129694201	129697799	+	0	NA	intron (ENSMUST00000147668, intron 1 of 4)	-intron (ENSMUST00000102588, intron 1 of 8)	620	ENSMUST00000137640	ENSMUSG00000053730	ENSMUST00000102588	NA	ENSMUSG00000053730	Tmem39b	NA	transmembrane protein 39b [Source:MGI Symbol;Acc:MGI:2682939]	protein_coding
EZH2_PeakRegion_09392	chr13	96924201	96926799	+	0	NA	intron (ENSMUST00000171324, intron 1 of 2)	-intron (ENSMUST00000171324, intron 1 of 2)	811	ENSMUST00000171324	ENSMUSG00000091387	ENSMUST00000171324	NA	ENSMUSG00000091387	Gcnt4	NA	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase) [Source:MGI Symbol;Acc:MGI:2684919]	protein_coding
EZH2_PeakRegion_01853	chr3	87982001	88003399	+	0	NA	TTS (ENSMUST00000193276)	-TTS (ENSMUST00000193276)	1755	ENSMUST00000194596	ENSMUSG00000004892	ENSMUST00000194596	NA	ENSMUSG00000004892	Bcan	NA	brevican [Source:MGI Symbol;Acc:MGI:1096385]	protein_coding
EZH2_PeakRegion_05797	chr8	94185201	94188399	+	0	NA	Intergenic	Intergenic	7711	ENSMUST00000034215	ENSMUSG00000031765	ENSMUST00000034215	NA	ENSMUSG00000031765	Mt1	NA	metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]	protein_coding
EZH2_PeakRegion_04956	chr7	79463401	79468999	+	0	NA	promoter-TSS (ENSMUST00000125562)	-promoter-TSS (ENSMUST00000125562)	-13	ENSMUST00000127082	ENSMUSG00000039176	ENSMUST00000149444	NA	ENSMUSG00000039176	Polg	NA	polymerase (DNA directed), gamma [Source:MGI Symbol;Acc:MGI:1196389]	protein_coding
EZH2_PeakRegion_01016	chr2	52674801	52677599	+	0	NA	promoter-TSS (ENSMUST00000148837)	-promoter-TSS (ENSMUST00000148837)	-57	ENSMUST00000148837	ENSMUSG00000017412	ENSMUST00000078324	NA	ENSMUSG00000017412	Cacnb4	NA	calcium channel, voltage-dependent, beta 4 subunit [Source:MGI Symbol;Acc:MGI:103301]	protein_coding
EZH2_PeakRegion_10477	chr16	17232801	17235199	+	0	NA	intron (ENSMUST00000115698, intron 1 of 3)	-intron (ENSMUST00000090190, intron 1 of 2)	336	ENSMUST00000115698	ENSMUSG00000050240	ENSMUST00000090190	NA	ENSMUSG00000050240	Hic2	NA	hypermethylated in cancer 2 [Source:MGI Symbol;Acc:MGI:1929869]	protein_coding
EZH2_PeakRegion_03759	chr5	137651001	137652599	+	0	NA	exon (ENSMUST00000031736, exon 12 of 12)	-exon (ENSMUST00000031736, exon 12 of 12)	-6086	ENSMUST00000057314	ENSMUSG00000047182	ENSMUST00000057314	NA	ENSMUSG00000047182	Irs3	NA	insulin receptor substrate 3 [Source:MGI Symbol;Acc:MGI:1194882]	protein_coding
EZH2_PeakRegion_11278	chr17	74338401	74340199	+	0	NA	exon (ENSMUST00000024869, exon 1 of 17)	-exon (ENSMUST00000024869, exon 1 of 17)	313	ENSMUST00000024869	ENSMUSG00000024068	ENSMUST00000024869	NA	ENSMUSG00000024068	Spast	NA	spastin [Source:MGI Symbol;Acc:MGI:1858896]	protein_coding
EZH2_PeakRegion_11114	chr17	36835601	36837799	+	0	NA	promoter-TSS (ENSMUST00000053434)	-promoter-TSS (ENSMUST00000053434)	-434	ENSMUST00000124307	ENSMUSG00000024457	ENSMUST00000124136	NA	ENSMUSG00000024457	Trim26	NA	tripartite motif-containing 26 [Source:MGI Symbol;Acc:MGI:1337056]	protein_coding
EZH2_PeakRegion_07226	chr10	89685001	89686999	+	0	NA	promoter-TSS (ENSMUST00000181598)	-promoter-TSS (ENSMUST00000181598)	263	ENSMUST00000174429	ENSMUSG00000069539	ENSMUST00000174575	NA	ENSMUSG00000069539	Scyl2	NA	SCY1-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1289172]	protein_coding
EZH2_PeakRegion_01997	chr3	102010001	102013399	+	0	NA	intron (ENSMUST00000066187, intron 2 of 2)	-intron (ENSMUST00000066187, intron 2 of 2)	1555	ENSMUST00000066187	ENSMUSG00000048540	ENSMUST00000066187	NA	ENSMUSG00000048540	Nhlh2	NA	nescient helix loop helix 2 [Source:MGI Symbol;Acc:MGI:97324]	protein_coding
EZH2_PeakRegion_05061	chr7	100555201	100556599	+	0	NA	intron (ENSMUST00000150042, intron 5 of 7)	-intron (ENSMUST00000107053, intron 4 of 6)	-8280	ENSMUST00000064334	ENSMUSG00000030706	ENSMUST00000064334	NA	ENSMUSG00000030706	Mrpl48	NA	mitochondrial ribosomal protein L48 [Source:MGI Symbol;Acc:MGI:1289321]	protein_coding
EZH2_PeakRegion_03771	chr5	138192201	138196199	+	0	NA	promoter-TSS (ENSMUST00000057773)	-promoter-TSS (ENSMUST00000057773)	-114	ENSMUST00000057773	ENSMUSG00000049285	ENSMUST00000057773	NA	ENSMUSG00000049285	Mblac1	NA	metallo-beta-lactamase domain containing 1 [Source:MGI Symbol;Acc:MGI:2679717]	protein_coding
EZH2_PeakRegion_02338	chr4	46506001	46507599	+	0	NA	TTS (ENSMUST00000046897)	-TTS (ENSMUST00000046897)	11645	ENSMUST00000082476	ENSMUSG00000064410	ENSMUST00000082476	NA	ENSMUSG00000064410	Gm22247	NA	predicted gene, 22247 [Source:MGI Symbol;Acc:MGI:5452024]	snoRNA
EZH2_PeakRegion_03053	chr5	8367001	8368799	+	0	NA	promoter-TSS (ENSMUST00000050166)	-promoter-TSS (ENSMUST00000050166)	82	ENSMUST00000115386	ENSMUSG00000040537	ENSMUST00000126384	NA	ENSMUSG00000040537	Adam22	NA	a disintegrin and metallopeptidase domain 22 [Source:MGI Symbol;Acc:MGI:1340046]	protein_coding
EZH2_PeakRegion_02632	chr4	125487201	125496199	+	0	NA	intron (ENSMUST00000030676, intron 1 of 15)	-intron (ENSMUST00000030676, intron 1 of 15)	1000	ENSMUST00000030676	ENSMUSG00000001985	ENSMUST00000030676	NA	ENSMUSG00000001985	Grik3	NA	glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]	protein_coding
EZH2_PeakRegion_06641	chr9	106442601	106443199	+	0	NA	TTS (ENSMUST00000187798)	-TTS (ENSMUST00000187798)	1249	ENSMUST00000187798	ENSMUSG00000042210	ENSMUST00000171678	NA	ENSMUSG00000042210	Abhd14a	NA	abhydrolase domain containing 14A [Source:MGI Symbol;Acc:MGI:1915894]	protein_coding
EZH2_PeakRegion_07138	chr10	80556201	80579999	+	0	NA	exon (ENSMUST00000038558, exon 2 of 2)	-exon (ENSMUST00000038558, exon 2 of 2)	-6540	ENSMUST00000057910	ENSMUSG00000047417	ENSMUST00000183160	NA	ENSMUSG00000047417	Rexo1	NA	REX1, RNA exonuclease 1 [Source:MGI Symbol;Acc:MGI:1914182]	protein_coding
EZH2_PeakRegion_03755	chr5	137599001	137601999	+	0	NA	exon (ENSMUST00000037620, exon 2 of 6)	-exon (ENSMUST00000037620, exon 2 of 6)	208	ENSMUST00000111007	ENSMUSG00000037221	ENSMUST00000126904	NA	ENSMUSG00000037221	Mospd3	NA	motile sperm domain containing 3 [Source:MGI Symbol;Acc:MGI:1916179]	protein_coding
EZH2_PeakRegion_03537	chr5	117411801	117416199	+	0	NA	promoter-TSS (ENSMUST00000073347)	-promoter-TSS (ENSMUST00000073347)	0	ENSMUST00000180430	ENSMUSG00000061578	ENSMUST00000180430	NA	ENSMUSG00000061578	Ksr2	NA	kinase suppressor of ras 2 [Source:MGI Symbol;Acc:MGI:3610315]	protein_coding
EZH2_PeakRegion_05888	chr8	107545801	107547399	+	0	NA	intron (ENSMUST00000166615, intron 11 of 23)	-intron (ENSMUST00000166615, intron 11 of 23)	-4644	ENSMUST00000083505	ENSMUSG00000065439	ENSMUST00000083505	NA	ENSMUSG00000065439	Mir140	NA	microRNA 140 [Source:MGI Symbol;Acc:MGI:2676825]	miRNA
EZH2_PeakRegion_02902	chr4	147902801	147906199	+	0	NA	exon (ENSMUST00000105715, exon 1 of 19)	-exon (ENSMUST00000105715, exon 1 of 19)	158	ENSMUST00000150881	ENSMUSG00000029020	ENSMUST00000030884	NA	ENSMUSG00000029020	Mfn2	NA	mitofusin 2 [Source:MGI Symbol;Acc:MGI:2442230]	protein_coding
EZH2_PeakRegion_05296	chr7	138906801	138911199	+	0	NA	intron (ENSMUST00000148970, intron 1 of 1)	-intron (ENSMUST00000106112, intron 1 of 5)	479	ENSMUST00000125359	ENSMUSG00000078566	ENSMUST00000130500	NA	ENSMUSG00000078566	Bnip3	NA	BCL2/adenovirus E1B interacting protein 3 [Source:MGI Symbol;Acc:MGI:109326]	protein_coding
EZH2_PeakRegion_11223	chr17	56581001	56588199	+	0	NA	promoter-TSS (ENSMUST00000075510)	-promoter-TSS (ENSMUST00000075510)	-15	ENSMUST00000075510	ENSMUSG00000042625	ENSMUST00000124457	NA	ENSMUSG00000042625	Safb2	NA	scaffold attachment factor B2 [Source:MGI Symbol;Acc:MGI:2146808]	protein_coding
EZH2_PeakRegion_06117	chr9	20606401	20607999	+	0	NA	promoter-TSS (ENSMUST00000136376)	-promoter-TSS (ENSMUST00000136376)	-281	ENSMUST00000136376	ENSMUSG00000062470	ENSMUST00000170938	NA	ENSMUSG00000062470	Fbxl12os	NA	F-box and leucine-rich repeat protein 12, opposite strand [Source:MGI Symbol;Acc:MGI:1913912]	antisense
EZH2_PeakRegion_07727	chr11	61853201	61856799	+	0	NA	promoter-TSS (ENSMUST00000004920)	-promoter-TSS (ENSMUST00000004920)	73	ENSMUST00000004920	ENSMUSG00000004798	ENSMUST00000157049	NA	ENSMUSG00000004798	Ulk2	NA	unc-51 like kinase 2 [Source:MGI Symbol;Acc:MGI:1352758]	protein_coding
EZH2_PeakRegion_04610	chr7	19455001	19460599	+	0	NA	intron (ENSMUST00000085715, intron 1 of 16)	-intron (ENSMUST00000085715, intron 1 of 16)	694	ENSMUST00000085715	ENSMUSG00000030397	ENSMUST00000085715	NA	ENSMUSG00000030397	Mark4	NA	MAP/microtubule affinity regulating kinase 4 [Source:MGI Symbol;Acc:MGI:1920955]	protein_coding
EZH2_PeakRegion_06507	chr9	75325401	75326199	+	0	NA	intron (ENSMUST00000076889, intron 2 of 11)	-intron (ENSMUST00000076889, intron 2 of 11)	14405	ENSMUST00000076889	ENSMUSG00000032192	ENSMUST00000076889	NA	ENSMUSG00000032192	Gnb5	NA	guanine nucleotide binding protein (G protein), beta 5 [Source:MGI Symbol;Acc:MGI:101848]	protein_coding
EZH2_PeakRegion_03582	chr5	121922601	121924599	+	0	NA	intron (ENSMUST00000168288, intron 1 of 20)	-intron (ENSMUST00000086317, intron 3 of 22)	1321	ENSMUST00000168288	ENSMUSG00000042589	ENSMUST00000168288	NA	ENSMUSG00000042589	Cux2	NA	cut-like homeobox 2 [Source:MGI Symbol;Acc:MGI:107321]	protein_coding
EZH2_PeakRegion_12035	chr19	45023401	45032999	+	0	NA	intron (ENSMUST00000169459, intron 15 of 15)	-intron (ENSMUST00000038901, intron 5 of 5)	1815	ENSMUST00000038901	ENSMUSG00000074818	ENSMUST00000169459	NA	ENSMUSG00000074818	Pdzd7	NA	PDZ domain containing 7 [Source:MGI Symbol;Acc:MGI:3608325]	protein_coding
EZH2_PeakRegion_04367	chr6	119306401	119338399	+	0	NA	intron (ENSMUST00000168793, intron 3 of 4)	-intron (ENSMUST00000037434, intron 26 of 37)	6804	ENSMUST00000124192	ENSMUSG00000055003	ENSMUST00000112756	NA	ENSMUSG00000055003	Lrtm2	NA	leucine-rich repeats and transmembrane domains 2 [Source:MGI Symbol;Acc:MGI:2141485]	protein_coding
EZH2_PeakRegion_11485	chr18	36024001	36033599	+	0	NA	intron (ENSMUST00000115705, intron 7 of 7)	-intron (ENSMUST00000115705, intron 7 of 7)	41781	ENSMUST00000175720	ENSMUSG00000024347	ENSMUST00000177432	NA	ENSMUSG00000024347	Psd2	NA	pleckstrin and Sec7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1921252]	protein_coding
