Chr	Start	End	Peak.ID	Peak.Label	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
chr1	25614439	25614672	Htt_PeakRegion_00028	WT-specific	NA	TTS (ENSMUST00000190216)	-TTS (ENSMUST00000190216)	959	ENSMUST00000190216	ENSMUSG00000101301	ENSMUST00000190216	NA	ENSMUSG00000101301	Gm29214	NA	predicted gene 29214 [Source:MGI Symbol;Acc:MGI:5579920]	processed_pseudogene
chr1	25755842	25756050	Htt_PeakRegion_00031	mHTT-specific	NA	exon (ENSMUST00000195723, exon 1 of 1)	-exon (ENSMUST00000195723, exon 1 of 1)	3087	ENSMUST00000195723	ENSMUSG00000102659	ENSMUST00000195723	NA	ENSMUSG00000102659	Gm37077	NA	predicted gene, 37077 [Source:MGI Symbol;Acc:MGI:5610305]	TEC
chr1	30802606	30803794	Htt_PeakRegion_00035	WT-specific	NA	TTS (ENSMUST00000191329)	-TTS (ENSMUST00000191329)	5905	ENSMUST00000190190	ENSMUSG00000048874	ENSMUST00000191064	NA	ENSMUSG00000048874	Phf3	NA	PHD finger protein 3 [Source:MGI Symbol;Acc:MGI:2446126]	protein_coding
chr1	32868518	32868652	Htt_PeakRegion_00037	WT-specific	NA	Intergenic	Intergenic	103905	ENSMUST00000194631	ENSMUSG00000102926	ENSMUST00000194631	NA	ENSMUSG00000102926	Gm37151	NA	predicted gene, 37151 [Source:MGI Symbol;Acc:MGI:5610379]	TEC
chr1	33182135	33182303	Htt_PeakRegion_00038	mHTT-specific	NA	Intergenic	Intergenic	-9774	ENSMUST00000158125	ENSMUSG00000088750	ENSMUST00000158125	NA	ENSMUSG00000088750	Gm24901	NA	predicted gene, 24901 [Source:MGI Symbol;Acc:MGI:5454678]	snRNA
chr1	33568036	33568252	Htt_PeakRegion_00039	WT-specific	NA	intron (ENSMUST00000027312, intron 7 of 13)	-intron (ENSMUST00000027312, intron 7 of 13)	48688	ENSMUST00000192891	ENSMUSG00000102714	ENSMUST00000192891	NA	ENSMUSG00000102714	Gm37618	NA	predicted gene, 37618 [Source:MGI Symbol;Acc:MGI:5610846]	TEC
chr1	33704349	33704543	Htt_PeakRegion_00040	mHTT-specific	NA	Intergenic	Intergenic	-15441	ENSMUST00000140354	ENSMUSG00000004768	ENSMUST00000115174	NA	ENSMUSG00000004768	Rab23	NA	RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]	protein_coding
chr1	33783974	33783999	Htt_PeakRegion_00042	mHTT-specific	NA	promoter-TSS (ENSMUST00000151055)	-promoter-TSS (ENSMUST00000151055)	-50	ENSMUST00000151055	ENSMUSG00000042197	ENSMUST00000044455	NA	ENSMUSG00000042197	Zfp451	NA	zinc finger protein 451 [Source:MGI Symbol;Acc:MGI:2137896]	protein_coding
chr1	33922888	33922942	Htt_PeakRegion_00043	WT-specific	NA	exon (ENSMUST00000193333, exon 1 of 1)	-exon (ENSMUST00000193333, exon 1 of 1)	460	ENSMUST00000193333	ENSMUSG00000103596	ENSMUST00000193333	NA	ENSMUSG00000103596	Gm37354	NA	predicted gene, 37354 [Source:MGI Symbol;Acc:MGI:5610582]	TEC
chr1	34307694	34309970	Htt_PeakRegion_00046	WT-specific	NA	TTS (ENSMUST00000097785)	-TTS (ENSMUST00000097785)	14386	ENSMUST00000182507	ENSMUSG00000026131	ENSMUST00000097785	NA	ENSMUSG00000026131	Dst	NA	dystonin [Source:MGI Symbol;Acc:MGI:104627]	protein_coding
chr1	36494166	36494297	Htt_PeakRegion_00053	WT-specific	NA	intron (ENSMUST00000153128, intron 1 of 6)	-intron (ENSMUST00000153128, intron 1 of 6)	-17635	ENSMUST00000001166	ENSMUSG00000001138	ENSMUST00000154225	NA	ENSMUSG00000001138	Cnnm3	NA	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]	protein_coding
chr1	36726383	36726442	Htt_PeakRegion_00054	WT-specific	NA	Intergenic	Intergenic	11867	ENSMUST00000195374	ENSMUSG00000102416	ENSMUST00000192873	NA	ENSMUSG00000102416	4933424G06Rik	NA	RIKEN cDNA 4933424G06 gene [Source:MGI Symbol;Acc:MGI:1918416]	protein_coding
chr1	36937645	36938462	Htt_PeakRegion_00055	WT-specific	NA	intron (ENSMUST00000185964, intron 1 of 5)	-intron (ENSMUST00000027290, intron 1 of 40)	1473	ENSMUST00000027290	ENSMUSG00000026116	ENSMUST00000191381	NA	ENSMUSG00000026116	Tmem131	NA	transmembrane protein 131 [Source:MGI Symbol;Acc:MGI:1927110]	protein_coding
chr1	37377961	37378111	Htt_PeakRegion_00058	WT-specific	NA	intron (ENSMUST00000168546, intron 6 of 15)	-intron (ENSMUST00000027287, intron 15 of 25)	364	ENSMUST00000123124	ENSMUSG00000026113	ENSMUST00000193774	NA	ENSMUSG00000026113	Inpp4a	NA	inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]	protein_coding
chr1	38014737	38014909	Htt_PeakRegion_00063	WT-specific	NA	intron (ENSMUST00000192548, intron 1 of 21)	-intron (ENSMUST00000027252, intron 1 of 23)	16694	ENSMUST00000192548	ENSMUSG00000026083	ENSMUST00000195664	NA	ENSMUSG00000026083	Eif5b	NA	eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772]	protein_coding
chr1	38045456	38045839	Htt_PeakRegion_00065	WT-specific	NA	TTS (ENSMUST00000193806)	-TTS (ENSMUST00000193806)	1014	ENSMUST00000195664	ENSMUSG00000026083	ENSMUST00000195664	NA	ENSMUSG00000026083	Eif5b	NA	eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772]	protein_coding
chr1	38252260	38252729	Htt_PeakRegion_00067	WT-specific	NA	intron (ENSMUST00000095027, intron 10 of 21)	-intron (ENSMUST00000039827, intron 11 of 22)	12795	ENSMUST00000133299	ENSMUSG00000085391	ENSMUST00000127620	NA	ENSMUSG00000085391	Gm16150	NA	predicted gene 16150 [Source:MGI Symbol;Acc:MGI:3801827]	antisense
chr1	38280074	38280553	Htt_PeakRegion_00068	WT-specific	NA	intron (ENSMUST00000095027, intron 8 of 21)	-intron (ENSMUST00000039827, intron 9 of 22)	-27588	ENSMUST00000129696	ENSMUSG00000085280	ENSMUST00000129696	NA	ENSMUSG00000085280	Gm16151	NA	predicted gene 16151 [Source:MGI Symbol;Acc:MGI:3801826]	antisense
chr1	38554874	38555191	Htt_PeakRegion_00071	WT-specific	NA	intron (ENSMUST00000134963, intron 1 of 3)	-intron (ENSMUST00000027250, intron 2 of 7)	67514	ENSMUST00000195175	ENSMUSG00000102984	ENSMUST00000195175	NA	ENSMUSG00000102984	Gm34727	NA	predicted gene, 34727 [Source:MGI Symbol;Acc:MGI:5593886]	processed_pseudogene
chr1	38806007	38806450	Htt_PeakRegion_00072	mHTT-specific	NA	intron (ENSMUST00000147695, intron 9 of 11)	-intron (ENSMUST00000039612, intron 8 of 10)	14986	ENSMUST00000039612	ENSMUSG00000048814	ENSMUST00000147695	NA	ENSMUSG00000048814	Lonrf2	NA	LON peptidase N-terminal domain and ring finger 2 [Source:MGI Symbol;Acc:MGI:1920209]	protein_coding
chr1	38843850	38844040	Htt_PeakRegion_00073	WT-specific	NA	Intergenic	Intergenic	-7234	ENSMUST00000147695	ENSMUSG00000048814	ENSMUST00000147695	NA	ENSMUSG00000048814	Lonrf2	NA	LON peptidase N-terminal domain and ring finger 2 [Source:MGI Symbol;Acc:MGI:1920209]	protein_coding
chr1	39076211	39076525	Htt_PeakRegion_00075	WT-specific	NA	Intergenic	Intergenic	6970	ENSMUST00000195455	ENSMUSG00000103182	ENSMUST00000195455	NA	ENSMUSG00000103182	Gm37091	NA	predicted gene, 37091 [Source:MGI Symbol;Acc:MGI:5610319]	TEC
chr1	39364352	39377907	Htt_PeakRegion_00076	WT-specific	NA	TTS (ENSMUST00000054462)	-TTS (ENSMUST00000054462)	1280	ENSMUST00000191855	ENSMUSG00000073702	ENSMUST00000179954	NA	ENSMUSG00000073702	Rpl31	NA	ribosomal protein L31 [Source:MGI Symbol;Acc:MGI:2149632]	protein_coding
chr1	39452054	39452562	Htt_PeakRegion_00077	WT-specific	NA	intron (ENSMUST00000193823, intron 1 of 18)	-intron (ENSMUST00000054462, intron 1 of 19)	26353	ENSMUST00000192531	ENSMUSG00000003134	ENSMUST00000054462	NA	ENSMUSG00000003134	Tbc1d8	NA	TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]	protein_coding
chr1	39511635	39512509	Htt_PeakRegion_00078	WT-specific	NA	Intergenic	Intergenic	-7461	ENSMUST00000083695	ENSMUSG00000065629	ENSMUST00000083695	NA	ENSMUSG00000065629	Gm24826	NA	predicted gene, 24826 [Source:MGI Symbol;Acc:MGI:5454603]	snoRNA
chr1	40206020	40206361	Htt_PeakRegion_00083	mHTT-specific	NA	Intergenic	Intergenic	9112	ENSMUST00000190877	ENSMUSG00000101749	ENSMUST00000190877	NA	ENSMUSG00000101749	NA	NA	NA	NA
chr1	41978454	41978539	Htt_PeakRegion_00086	WT-specific	NA	Intergenic	Intergenic	60145	ENSMUST00000187227	ENSMUSG00000100832	ENSMUST00000187227	NA	ENSMUSG00000100832	Gm29260	NA	predicted gene 29260 [Source:MGI Symbol;Acc:MGI:5579966]	lincRNA
chr1	42611990	42612140	Htt_PeakRegion_00087	WT-specific	NA	intron (ENSMUST00000181660, intron 3 of 3)	-intron (ENSMUST00000181660, intron 3 of 3)	39614	ENSMUST00000176977	ENSMUSG00000060424	ENSMUST00000176154	NA	ENSMUSG00000060424	Pantr1	NA	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1 [Source:MGI Symbol;Acc:MGI:1913547]	lincRNA
chr1	42698240	42703835	Htt_PeakRegion_00088	WT-mHTT-shared	NA	exon (ENSMUST00000054883, exon 1 of 1)	-exon (ENSMUST00000054883, exon 1 of 1)	5270	ENSMUST00000054883	ENSMUSG00000045515	ENSMUST00000054883	NA	ENSMUSG00000045515	Pou3f3	NA	POU domain, class 3, transcription factor 3 [Source:MGI Symbol;Acc:MGI:102564]	protein_coding
chr1	42704615	42704839	Htt_PeakRegion_00089	WT-specific	NA	intron (ENSMUST00000176807, intron 1 of 1)	-intron (ENSMUST00000176807, intron 1 of 1)	3325	ENSMUST00000192894	ENSMUSG00000097063	ENSMUST00000192894	NA	ENSMUSG00000097063	Pantr2	NA	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2 [Source:MGI Symbol;Acc:MGI:1913870]	processed_transcript
chr1	42705674	42705773	Htt_PeakRegion_00090	WT-specific	NA	intron (ENSMUST00000176807, intron 1 of 1)	-intron (ENSMUST00000176807, intron 1 of 1)	2328	ENSMUST00000192894	ENSMUSG00000097063	ENSMUST00000192894	NA	ENSMUSG00000097063	Pantr2	NA	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2 [Source:MGI Symbol;Acc:MGI:1913870]	processed_transcript
chr1	45529109	45529313	Htt_PeakRegion_00097	WT-specific	NA	Intergenic	Intergenic	-8457	ENSMUST00000186840	ENSMUSG00000100361	ENSMUST00000186840	NA	ENSMUSG00000100361	Gm7063	NA	predicted gene 7063 [Source:MGI Symbol;Acc:MGI:3644583]	processed_pseudogene
chr1	49377442	49377523	Htt_PeakRegion_00101	WT-specific	NA	Intergenic	Intergenic	23246	ENSMUST00000189810	ENSMUSG00000099627	ENSMUST00000189810	NA	ENSMUSG00000099627	Gm6757	NA	predicted gene 6757 [Source:MGI Symbol;Acc:MGI:3648801]	processed_pseudogene
chr1	51879721	51879982	Htt_PeakRegion_00106	WT-specific	NA	promoter-TSS (ENSMUST00000186817)	-promoter-TSS (ENSMUST00000186817)	-244	ENSMUST00000186817	ENSMUSG00000100313	ENSMUST00000186817	NA	ENSMUSG00000100313	Gm28323	NA	predicted gene 28323 [Source:MGI Symbol;Acc:MGI:5579029]	sense_intronic
chr1	52226475	52228003	Htt_PeakRegion_00108	WT-specific	NA	intron (ENSMUST00000142976, intron 1 of 3)	-intron (ENSMUST00000114510, intron 1 of 14)	5057	ENSMUST00000114512	ENSMUSG00000026103	ENSMUST00000114513	NA	ENSMUSG00000026103	Gls	NA	glutaminase [Source:MGI Symbol;Acc:MGI:95752]	protein_coding
chr1	54013652	54013825	Htt_PeakRegion_00112	WT-specific	NA	intron (ENSMUST00000146850, intron 2 of 3)	-intron (ENSMUST00000087659, intron 2 of 28)	-126798	ENSMUST00000157324	ENSMUSG00000087949	ENSMUST00000157324	NA	ENSMUSG00000087949	Gm24251	NA	predicted gene, 24251 [Source:MGI Symbol;Acc:MGI:5454028]	snRNA
chr1	54106780	54107007	Htt_PeakRegion_00113	WT-specific	NA	intron (ENSMUST00000146850, intron 1 of 3)	-intron (ENSMUST00000087659, intron 1 of 28)	48202	ENSMUST00000192858	ENSMUSG00000102868	ENSMUST00000192858	NA	ENSMUSG00000102868	Gm37633	NA	predicted gene, 37633 [Source:MGI Symbol;Acc:MGI:5610861]	TEC
chr1	54111217	54111588	Htt_PeakRegion_00114	mHTT-specific	NA	intron (ENSMUST00000146850, intron 1 of 3)	-intron (ENSMUST00000087659, intron 1 of 28)	43693	ENSMUST00000192858	ENSMUSG00000102868	ENSMUST00000192858	NA	ENSMUSG00000102868	Gm37633	NA	predicted gene, 37633 [Source:MGI Symbol;Acc:MGI:5610861]	TEC
chr1	57417416	57417900	Htt_PeakRegion_00120	WT-specific	NA	exon (ENSMUST00000027114, exon 5 of 5)	-exon (ENSMUST00000027114, exon 5 of 5)	4715	ENSMUST00000104588	ENSMUSG00000077776	ENSMUST00000104588	NA	ENSMUSG00000077776	Gm22371	NA	predicted gene, 22371 [Source:MGI Symbol;Acc:MGI:5452148]	snoRNA
chr1	58399718	58401032	Htt_PeakRegion_00122	WT-specific	NA	intron (ENSMUST00000188898, intron 4 of 7)	-intron (ENSMUST00000050552, intron 5 of 11)	6905	ENSMUST00000186949	ENSMUSG00000051223	ENSMUST00000188630	NA	ENSMUSG00000051223	Bzw1	NA	basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]	protein_coding
chr1	58401642	58402335	Htt_PeakRegion_00123	WT-specific	NA	intron (ENSMUST00000188898, intron 7 of 7)	-intron (ENSMUST00000050552, intron 8 of 11)	8519	ENSMUST00000186949	ENSMUSG00000051223	ENSMUST00000188630	NA	ENSMUSG00000051223	Bzw1	NA	basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]	protein_coding
chr1	58403469	58407998	Htt_PeakRegion_00124	WT-specific	NA	TTS (ENSMUST00000186949)	-TTS (ENSMUST00000186949)	7127	ENSMUST00000139787	ENSMUSG00000026034	ENSMUST00000148330	NA	ENSMUSG00000026034	Clk1	NA	CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]	protein_coding
chr1	58408544	58419038	Htt_PeakRegion_00125	WT-specific	NA	promoter-TSS (ENSMUST00000129303)	-promoter-TSS (ENSMUST00000129303)	34	ENSMUST00000129303	ENSMUSG00000026034	ENSMUST00000148330	NA	ENSMUSG00000026034	Clk1	NA	CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]	protein_coding
chr1	58419628	58424565	Htt_PeakRegion_00126	WT-specific	NA	promoter-TSS (ENSMUST00000135380)	-promoter-TSS (ENSMUST00000135380)	-839	ENSMUST00000135380	ENSMUSG00000026034	ENSMUST00000148330	NA	ENSMUSG00000026034	Clk1	NA	CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]	protein_coding
chr1	58425299	58425395	Htt_PeakRegion_00127	WT-specific	NA	Intergenic	Intergenic	-1281	ENSMUST00000156931	ENSMUSG00000026034	ENSMUST00000148330	NA	ENSMUSG00000026034	Clk1	NA	CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]	protein_coding
chr1	59660867	59661702	Htt_PeakRegion_00129	WT-specific	NA	intron (ENSMUST00000191158, intron 1 of 3)	-intron (ENSMUST00000091374, intron 1 of 4)	9454	ENSMUST00000185265	ENSMUSG00000026021	ENSMUST00000091374	NA	ENSMUSG00000026021	Sumo1	NA	small ubiquitin-like modifier 1 [Source:MGI Symbol;Acc:MGI:1197010]	protein_coding
chr1	59833113	59833281	Htt_PeakRegion_00131	WT-specific	NA	intron (ENSMUST00000087435, intron 3 of 12)	-intron (ENSMUST00000087435, intron 3 of 12)	-17468	ENSMUST00000190659	ENSMUSG00000067336	ENSMUST00000186246	NA	ENSMUSG00000067336	Bmpr2	NA	bone morphogenetic protein receptor, type II (serine/threonine kinase) [Source:MGI Symbol;Acc:MGI:1095407]	protein_coding
chr1	59929339	59929954	Htt_PeakRegion_00134	WT-specific	NA	promoter-TSS (ENSMUST00000191628)	-promoter-TSS (ENSMUST00000191628)	-41	ENSMUST00000191628	ENSMUSG00000103696	ENSMUST00000191628	NA	ENSMUSG00000103696	Gm37531	NA	predicted gene, 37531 [Source:MGI Symbol;Acc:MGI:5610759]	TEC
chr1	60383365	60383803	Htt_PeakRegion_00135	WT-specific	NA	intron (ENSMUST00000148443, intron 10 of 11)	-intron (ENSMUST00000060608, intron 11 of 12)	-26035	ENSMUST00000052332	ENSMUSG00000026782	ENSMUST00000188618	NA	ENSMUSG00000026782	Abi2	NA	abl-interactor 2 [Source:MGI Symbol;Acc:MGI:106913]	protein_coding
chr1	60464296	60464653	Htt_PeakRegion_00136	WT-specific	NA	intron (ENSMUST00000189980, intron 9 of 10)	-intron (ENSMUST00000052332, intron 7 of 8)	25533	ENSMUST00000190158	ENSMUSG00000026782	ENSMUST00000188618	NA	ENSMUSG00000026782	Abi2	NA	abl-interactor 2 [Source:MGI Symbol;Acc:MGI:106913]	protein_coding
chr1	60713658	60713820	Htt_PeakRegion_00139	mHTT-specific	NA	Intergenic	Intergenic	-3061	ENSMUST00000132833	ENSMUSG00000026012	ENSMUST00000027165	NA	ENSMUSG00000026012	Cd28	NA	CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]	protein_coding
chr1	61199926	61200139	Htt_PeakRegion_00141	WT-specific	NA	Intergenic	Intergenic	-2791	ENSMUST00000120063	ENSMUSG00000080785	ENSMUST00000120063	NA	ENSMUSG00000080785	Gm11591	NA	predicted gene 11591 [Source:MGI Symbol;Acc:MGI:3652105]	processed_pseudogene
chr1	63127796	63127981	Htt_PeakRegion_00142	WT-specific	NA	intron (ENSMUST00000188602, intron 1 of 3)	-intron (ENSMUST00000138611, intron 1 of 3)	10771	ENSMUST00000185480	ENSMUSG00000101599	ENSMUST00000185480	NA	ENSMUSG00000101599	Gm20342	NA	predicted gene, 20342 [Source:MGI Symbol;Acc:MGI:5012527]	lincRNA
chr1	63274119	63281050	Htt_PeakRegion_00143	mHTT-specific	NA	intron (ENSMUST00000114132, intron 2 of 6)	-intron (ENSMUST00000114132, intron 2 of 6)	-4222	ENSMUST00000174964	ENSMUSG00000092705	ENSMUST00000174964	NA	ENSMUSG00000092705	Gm24513	NA	predicted gene, 24513 [Source:MGI Symbol;Acc:MGI:5454290]	miRNA
chr1	63779018	63779089	Htt_PeakRegion_00147	WT-specific	NA	Intergenic	Intergenic	-9787	ENSMUST00000027102	ENSMUSG00000025961	ENSMUST00000027102	NA	ENSMUSG00000025961	4933402D24Rik	NA	RIKEN cDNA 4933402D24 gene [Source:MGI Symbol;Acc:MGI:1921676]	protein_coding
chr1	64021841	64022051	Htt_PeakRegion_00149	mHTT-specific	NA	Intergenic	Intergenic	-7517	ENSMUST00000181595	ENSMUSG00000097272	ENSMUST00000181595	NA	ENSMUSG00000097272	NA	NA	NA	NA
chr1	64604548	64605106	Htt_PeakRegion_00151	WT-specific	NA	TTS (ENSMUST00000087366)	-TTS (ENSMUST00000087366)	10804	ENSMUST00000162806	ENSMUSG00000025956	ENSMUST00000114079	NA	ENSMUSG00000025956	Mettl21a	NA	methyltransferase like 21A [Source:MGI Symbol;Acc:MGI:1914349]	protein_coding
chr1	66322063	66323602	Htt_PeakRegion_00152	mHTT-specific	NA	TTS (ENSMUST00000124873)	-TTS (ENSMUST00000124873)	731	ENSMUST00000123647	ENSMUSG00000015222	ENSMUST00000114018	NA	ENSMUSG00000015222	Map2	NA	microtubule-associated protein 2 [Source:MGI Symbol;Acc:MGI:97175]	protein_coding
chr1	66475957	66476184	Htt_PeakRegion_00154	WT-specific	NA	intron (ENSMUST00000136727, intron 4 of 5)	-intron (ENSMUST00000061620, intron 4 of 64)	7641	ENSMUST00000136727	ENSMUSG00000055567	ENSMUST00000114008	NA	ENSMUSG00000055567	Unc80	NA	unc-80, NALCN activator [Source:MGI Symbol;Acc:MGI:2652882]	protein_coding
chr1	68888815	68888968	Htt_PeakRegion_00158	WT-specific	NA	intron (ENSMUST00000153432, intron 1 of 18)	-intron (ENSMUST00000119142, intron 1 of 27)	-127165	ENSMUST00000195066	ENSMUSG00000103809	ENSMUST00000195066	NA	ENSMUSG00000103809	Gm37061	NA	predicted gene, 37061 [Source:MGI Symbol;Acc:MGI:5610289]	TEC
chr1	71810512	71810629	Htt_PeakRegion_00159	mHTT-specific	NA	Intergenic	Intergenic	36039	ENSMUST00000194017	ENSMUSG00000102689	ENSMUST00000194017	NA	ENSMUSG00000102689	Gm37217	NA	predicted gene, 37217 [Source:MGI Symbol;Acc:MGI:5610445]	TEC
chr1	74237783	74237898	Htt_PeakRegion_00167	WT-specific	NA	TTS (ENSMUST00000185733)	-TTS (ENSMUST00000185733)	1291	ENSMUST00000113819	ENSMUSG00000006304	ENSMUST00000113819	NA	ENSMUSG00000006304	Arpc2	NA	actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]	protein_coding
chr1	74294751	74294951	Htt_PeakRegion_00169	mHTT-specific	NA	promoter-TSS (ENSMUST00000186510)	-promoter-TSS (ENSMUST00000186510)	-752	ENSMUST00000186510	ENSMUSG00000099931	ENSMUST00000186510	NA	ENSMUSG00000099931	Gm29358	NA	predicted gene 29358 [Source:MGI Symbol;Acc:MGI:5580064]	sense_intronic
chr1	74376003	74376157	Htt_PeakRegion_00170	mHTT-specific	NA	promoter-TSS (ENSMUST00000155865)	-promoter-TSS (ENSMUST00000155865)	508	ENSMUST00000135137	ENSMUSG00000026177	ENSMUST00000155865	NA	ENSMUSG00000026177	Slc11a1	NA	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 [Source:MGI Symbol;Acc:MGI:1345275]	protein_coding
chr1	74564989	74565577	Htt_PeakRegion_00171	mHTT-specific	NA	TTS (ENSMUST00000189956)	-TTS (ENSMUST00000189956)	846	ENSMUST00000135111	ENSMUSG00000026173	ENSMUST00000141412	NA	ENSMUSG00000026173	Plcd4	NA	phospholipase C, delta 4 [Source:MGI Symbol;Acc:MGI:107469]	protein_coding
chr1	75134437	75139601	Htt_PeakRegion_00175	WT-specific	NA	TTS (ENSMUST00000188037)	-TTS (ENSMUST00000188037)	787	ENSMUST00000188037	ENSMUSG00000033159	ENSMUST00000041213	NA	ENSMUSG00000033159	Cnppd1	NA	cyclin Pas1/PHO80 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916421]	protein_coding
chr1	75140256	75140836	Htt_PeakRegion_00176	WT-specific	NA	intron (ENSMUST00000190679, intron 2 of 7)	-intron (ENSMUST00000041213, intron 4 of 9)	1145	ENSMUST00000190679	ENSMUSG00000033159	ENSMUST00000041213	NA	ENSMUSG00000033159	Cnppd1	NA	cyclin Pas1/PHO80 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916421]	protein_coding
