Peak.ID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
Htt_PeakRegion_01284	chr2	164981655	164981804	+	0	NA	promoter-TSS (ENSMUST00000135918)	-promoter-TSS (ENSMUST00000135918)	-708	ENSMUST00000135918	ENSMUSG00000017740	ENSMUST00000099092	NA	ENSMUSG00000017740	Slc12a5	NA	solute carrier family 12, member 5 [Source:MGI Symbol;Acc:MGI:1862037]	protein_coding
Htt_PeakRegion_04315	chr8	63118363	63119645	+	0	NA	intron (ENSMUST00000138398, intron 4 of 5)	-intron (ENSMUST00000093480, intron 3 of 10)	-10197	ENSMUST00000157794	ENSMUSG00000088419	ENSMUST00000157794	NA	ENSMUSG00000088419	Gm24236	NA	predicted gene, 24236 [Source:MGI Symbol;Acc:MGI:5454013]	snoRNA
Htt_PeakRegion_08286	chr16	17523888	17524800	+	0	NA	promoter-TSS (ENSMUST00000142393)	-promoter-TSS (ENSMUST00000142393)	284	ENSMUST00000134618	ENSMUSG00000022761	ENSMUST00000134618	NA	ENSMUSG00000022761	Lztr1	NA	leucine-zipper-like transcriptional regulator, 1 [Source:MGI Symbol;Acc:MGI:1914113]	protein_coding
Htt_PeakRegion_01457	chr3	55985840	55987824	+	0	NA	intron (ENSMUST00000029374, intron 28 of 57)	-intron (ENSMUST00000029374, intron 28 of 57)	-29919	ENSMUST00000104088	ENSMUSG00000077276	ENSMUST00000104088	NA	ENSMUSG00000077276	Gm22784	NA	predicted gene, 22784 [Source:MGI Symbol;Acc:MGI:5452561]	snoRNA
Htt_PeakRegion_09625	chrX	151915791	151915793	+	0	NA	exon (ENSMUST00000026292, exon 61 of 83)	-exon (ENSMUST00000026292, exon 61 of 83)	2578	ENSMUST00000083602	ENSMUSG00000065536	ENSMUST00000083602	NA	ENSMUSG00000065536	Mir98	NA	microRNA 98 [Source:MGI Symbol;Acc:MGI:3619441]	miRNA
Htt_PeakRegion_09465	chr19	37176385	37178135	+	0	NA	intron (ENSMUST00000180609, intron 2 of 2)	-intron (ENSMUST00000079754, intron 1 of 10)	757	ENSMUST00000133988	ENSMUSG00000039652	ENSMUST00000128642	NA	ENSMUSG00000039652	Cpeb3	NA	cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]	protein_coding
Htt_PeakRegion_09064	chr18	31659836	31659965	+	0	NA	intron (ENSMUST00000178164, intron 7 of 21)	-intron (ENSMUST00000025109, intron 7 of 20)	25517	ENSMUST00000025109	ENSMUSG00000024260	ENSMUST00000025109	NA	ENSMUSG00000024260	Sap130	NA	Sin3A associated protein [Source:MGI Symbol;Acc:MGI:1919782]	protein_coding
Htt_PeakRegion_05337	chr10	40686370	40686569	+	0	NA	intron (ENSMUST00000058747, intron 1 of 4)	-intron (ENSMUST00000058747, intron 1 of 4)	3187	ENSMUST00000058747	ENSMUSG00000045555	ENSMUST00000058747	NA	ENSMUSG00000045555	Mettl24	NA	methyltransferase like 24 [Source:MGI Symbol;Acc:MGI:3045338]	protein_coding
Htt_PeakRegion_01222	chr2	156389335	156392319	+	0	NA	Intergenic	Intergenic	2002	ENSMUST00000192590	ENSMUSG00000102869	ENSMUST00000192863	NA	ENSMUSG00000102869	2900097C17Rik	NA	RIKEN cDNA 2900097C17 gene [Source:MGI Symbol;Acc:MGI:1914767]	lincRNA
Htt_PeakRegion_07424	chr13	112595285	112595350	+	0	NA	Intergenic	Intergenic	-14655	ENSMUST00000051756	ENSMUSG00000050377	ENSMUST00000051756	NA	ENSMUSG00000050377	Il31ra	NA	interleukin 31 receptor A [Source:MGI Symbol;Acc:MGI:2180511]	protein_coding
Htt_PeakRegion_08361	chr16	34091979	34092058	+	0	NA	intron (ENSMUST00000142817, intron 33 of 48)	-intron (ENSMUST00000076810, intron 34 of 59)	3969	ENSMUST00000114973	ENSMUSG00000061751	ENSMUST00000114953	NA	ENSMUSG00000061751	Kalrn	NA	kalirin, RhoGEF kinase [Source:MGI Symbol;Acc:MGI:2685385]	protein_coding
Htt_PeakRegion_06343	chr11	98748187	98763579	+	0	NA	intron (ENSMUST00000153043, intron 2 of 3)	-intron (ENSMUST00000064187, intron 2 of 9)	2297	ENSMUST00000124072	ENSMUSG00000058756	ENSMUST00000124072	NA	ENSMUSG00000058756	Thra	NA	thyroid hormone receptor alpha [Source:MGI Symbol;Acc:MGI:98742]	protein_coding
Htt_PeakRegion_07025	chr12	108790257	108792817	+	0	NA	Intergenic	Intergenic	-1436	ENSMUST00000021692	ENSMUSG00000021264	ENSMUST00000126912	NA	ENSMUSG00000021264	Yy1	NA	YY1 transcription factor [Source:MGI Symbol;Acc:MGI:99150]	protein_coding
Htt_PeakRegion_00653	chr2	27810037	27810164	+	0	NA	Intergenic	Intergenic	69899	ENSMUST00000148756	ENSMUSG00000015846	ENSMUST00000166775	NA	ENSMUSG00000015846	Rxra	NA	retinoid X receptor alpha [Source:MGI Symbol;Acc:MGI:98214]	protein_coding
Htt_PeakRegion_02879	chr5	125611389	125611598	+	0	NA	intron (ENSMUST00000031446, intron 1 of 8)	-intron (ENSMUST00000031446, intron 1 of 8)	-10995	ENSMUST00000184422	ENSMUSG00000070498	ENSMUST00000031446	NA	ENSMUSG00000070498	Tmem132b	NA	transmembrane protein 132B [Source:MGI Symbol;Acc:MGI:3609245]	protein_coding
Htt_PeakRegion_05679	chr10	127092074	127099659	+	0	NA	exon (ENSMUST00000080975, exon 14 of 14)	-exon (ENSMUST00000080975, exon 14 of 14)	16959	ENSMUST00000039259	ENSMUSG00000025422	ENSMUST00000039259	NA	ENSMUSG00000025422	Agap2	NA	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:MGI Symbol;Acc:MGI:3580016]	protein_coding
Htt_PeakRegion_06514	chr11	107645891	107645909	+	0	NA	intron (ENSMUST00000143634, intron 3 of 3)	-intron (ENSMUST00000075012, intron 20 of 31)	8178	ENSMUST00000185044	ENSMUSG00000098497	ENSMUST00000185044	NA	ENSMUSG00000098497	Mir6932	NA	microRNA 6932 [Source:MGI Symbol;Acc:MGI:5531073]	miRNA
Htt_PeakRegion_00233	chr1	89902976	89903141	+	0	NA	Intergenic	Intergenic	26127	ENSMUST00000187633	ENSMUSG00000034486	ENSMUST00000036954	NA	ENSMUSG00000034486	Gbx2	NA	gastrulation brain homeobox 2 [Source:MGI Symbol;Acc:MGI:95668]	protein_coding
Htt_PeakRegion_08954	chr17	77857399	77857512	+	0	NA	Intergenic	Intergenic	-182753	ENSMUST00000168236	ENSMUSG00000091058	ENSMUST00000168236	NA	ENSMUSG00000091058	Gm17538	NA	predicted gene, 17538 [Source:MGI Symbol;Acc:MGI:4937172]	processed_pseudogene
Htt_PeakRegion_01956	chr4	54317402	54317567	+	0	NA	Intergenic	Intergenic	-81608	ENSMUST00000117623	ENSMUSG00000083624	ENSMUST00000117623	NA	ENSMUSG00000083624	Gm12469	NA	predicted gene 12469 [Source:MGI Symbol;Acc:MGI:3652114]	processed_pseudogene
Htt_PeakRegion_02170	chr4	130755593	130756049	+	0	NA	intron (ENSMUST00000105992, intron 12 of 19)	-intron (ENSMUST00000030315, intron 14 of 21)	-2742	ENSMUST00000154720	ENSMUSG00000087449	ENSMUST00000154720	NA	ENSMUSG00000087449	Gm12971	NA	predicted gene 12971 [Source:MGI Symbol;Acc:MGI:3650041]	sense_intronic
Htt_PeakRegion_06497	chr11	106700199	106700501	+	0	NA	intron (ENSMUST00000183610, intron 2 of 14)	-intron (ENSMUST00000068021, intron 3 of 15)	-9003	ENSMUST00000135481	ENSMUSG00000020717	ENSMUST00000068021	NA	ENSMUSG00000020717	Pecam1	NA	platelet/endothelial cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97537]	protein_coding
Htt_PeakRegion_05362	chr10	50894572	50900470	+	0	NA	intron (ENSMUST00000020071, intron 1 of 10)	-intron (ENSMUST00000020071, intron 1 of 10)	1870	ENSMUST00000020071	ENSMUSG00000019913	ENSMUST00000020071	NA	ENSMUSG00000019913	Sim1	NA	single-minded family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:98306]	protein_coding
Htt_PeakRegion_04560	chr8	119389232	119390185	+	0	NA	Intergenic	Intergenic	-5170	ENSMUST00000098367	ENSMUSG00000074064	ENSMUST00000145121	NA	ENSMUSG00000074064	Mlycd	NA	malonyl-CoA decarboxylase [Source:MGI Symbol;Acc:MGI:1928485]	protein_coding
Htt_PeakRegion_03522	chr6	146519534	146519744	+	0	NA	Intergenic	Intergenic	-17416	ENSMUST00000139732	ENSMUSG00000030287	ENSMUST00000111673	NA	ENSMUSG00000030287	Itpr2	NA	inositol 1,4,5-triphosphate receptor 2 [Source:MGI Symbol;Acc:MGI:99418]	protein_coding
Htt_PeakRegion_00085	chr1	41503245	41503409	+	0	NA	Intergenic	Intergenic	26216	ENSMUST00000191087	ENSMUSG00000100185	ENSMUST00000191087	NA	ENSMUSG00000100185	Gm28634	NA	predicted gene 28634 [Source:MGI Symbol;Acc:MGI:5579340]	lincRNA
Htt_PeakRegion_09511	chr19	44968679	44969645	+	0	NA	intron (ENSMUST00000096053, intron 14 of 19)	-intron (ENSMUST00000096053, intron 14 of 19)	-19939	ENSMUST00000026225	ENSMUSG00000025207	ENSMUST00000179305	NA	ENSMUSG00000025207	Sema4g	NA	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G [Source:MGI Symbol;Acc:MGI:1347047]	protein_coding
Htt_PeakRegion_00484	chr1	180502910	180503193	+	0	NA	Intergenic	Intergenic	16676	ENSMUST00000194222	ENSMUSG00000102608	ENSMUST00000194222	NA	ENSMUSG00000102608	Gm37267	NA	predicted gene, 37267 [Source:MGI Symbol;Acc:MGI:5610495]	lincRNA
Htt_PeakRegion_00662	chr2	29814960	29815179	+	0	NA	intron (ENSMUST00000080065, intron 12 of 12)	-intron (ENSMUST00000080065, intron 12 of 12)	-5006	ENSMUST00000149379	ENSMUSG00000069020	ENSMUST00000091142	NA	ENSMUSG00000069020	Urm1	NA	ubiquitin related modifier 1 [Source:MGI Symbol;Acc:MGI:1915455]	protein_coding
Htt_PeakRegion_05111	chr9	108418771	108418923	+	0	NA	intron (ENSMUST00000076592, intron 2 of 6)	-intron (ENSMUST00000076592, intron 2 of 6)	9637	ENSMUST00000076592	ENSMUSG00000047220	ENSMUST00000076592	NA	ENSMUSG00000047220	Ccdc36	NA	coiled-coil domain containing 36 [Source:MGI Symbol;Acc:MGI:3612242]	protein_coding
Htt_PeakRegion_00257	chr1	106280711	106281197	+	0	NA	promoter-TSS (ENSMUST00000135810)	-promoter-TSS (ENSMUST00000135810)	-471	ENSMUST00000135810	ENSMUSG00000044340	ENSMUST00000061047	NA	ENSMUSG00000044340	Phlpp1	NA	PH domain and leucine rich repeat protein phosphatase 1 [Source:MGI Symbol;Acc:MGI:2138327]	protein_coding
Htt_PeakRegion_00379	chr1	155877113	155878605	+	0	NA	intron (ENSMUST00000146987, intron 2 of 3)	-intron (ENSMUST00000129865, intron 3 of 7)	4687	ENSMUST00000191750	ENSMUSG00000102837	ENSMUST00000191750	NA	ENSMUSG00000102837	Gm37383	NA	predicted gene, 37383 [Source:MGI Symbol;Acc:MGI:5610611]	TEC
Htt_PeakRegion_09473	chr19	37273502	37275627	+	0	NA	intron (ENSMUST00000154339, intron 12 of 14)	-intron (ENSMUST00000131070, intron 21 of 23)	16314	ENSMUST00000134740	ENSMUSG00000056999	ENSMUST00000154339	NA	ENSMUSG00000056999	Ide	NA	insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]	protein_coding
Htt_PeakRegion_05418	chr10	74602788	74602940	+	0	NA	intron (ENSMUST00000195531, intron 27 of 34)	-intron (ENSMUST00000064562, intron 26 of 30)	18648	ENSMUST00000128843	ENSMUSG00000052613	ENSMUST00000193739	NA	ENSMUSG00000052613	Pcdh15	NA	protocadherin 15 [Source:MGI Symbol;Acc:MGI:1891428]	protein_coding
Htt_PeakRegion_00142	chr1	63127797	63127981	+	0	NA	intron (ENSMUST00000188602, intron 1 of 3)	-intron (ENSMUST00000138611, intron 1 of 3)	10771	ENSMUST00000185480	ENSMUSG00000101599	ENSMUST00000185480	NA	ENSMUSG00000101599	Gm20342	NA	predicted gene, 20342 [Source:MGI Symbol;Acc:MGI:5012527]	lincRNA
Htt_PeakRegion_07170	chr13	43227638	43228061	+	0	NA	intron (ENSMUST00000055341, intron 1 of 1)	-intron (ENSMUST00000055341, intron 1 of 1)	-56348	ENSMUST00000021797	ENSMUSG00000021368	ENSMUST00000021797	NA	ENSMUSG00000021368	Tbc1d7	NA	TBC1 domain family, member 7 [Source:MGI Symbol;Acc:MGI:1914296]	protein_coding
Htt_PeakRegion_00013	chr1	11866444	11866594	+	0	NA	intron (ENSMUST00000179089, intron 10 of 12)	-intron (ENSMUST00000048613, intron 10 of 13)	162312	ENSMUST00000195360	ENSMUSG00000103561	ENSMUST00000195360	NA	ENSMUSG00000103561	Gm38069	NA	predicted gene, 38069 [Source:MGI Symbol;Acc:MGI:5611297]	TEC
Htt_PeakRegion_08112	chr15	98829625	98830753	+	0	NA	intron (ENSMUST00000168846, intron 1 of 11)	-intron (ENSMUST00000168846, intron 1 of 11)	1319	ENSMUST00000168846	ENSMUSG00000067713	ENSMUST00000168846	NA	ENSMUSG00000067713	Prkag1	NA	protein kinase, AMP-activated, gamma 1 non-catalytic subunit [Source:MGI Symbol;Acc:MGI:108411]	protein_coding
Htt_PeakRegion_06061	chr11	70454584	70454972	+	0	NA	TTS (ENSMUST00000154475)	-TTS (ENSMUST00000154475)	2846	ENSMUST00000152348	ENSMUSG00000018923	ENSMUST00000019067	NA	ENSMUSG00000018923	Med11	NA	mediator complex subunit 11 [Source:MGI Symbol;Acc:MGI:1913422]	protein_coding
Htt_PeakRegion_08298	chr16	20341925	20343069	+	0	NA	intron (ENSMUST00000148003, intron 3 of 3)	-intron (ENSMUST00000079158, intron 26 of 29)	-19432	ENSMUST00000023513	ENSMUSG00000022818	ENSMUST00000182736	NA	ENSMUSG00000022818	Cyp2ab1	NA	cytochrome P450, family 2, subfamily ab, polypeptide 1 [Source:MGI Symbol;Acc:MGI:3644957]	protein_coding
Htt_PeakRegion_08620	chr17	13889678	13889934	+	0	NA	intron (ENSMUST00000170827, intron 29 of 32)	-intron (ENSMUST00000124188, intron 1 of 2)	952	ENSMUST00000124188	ENSMUSG00000068036	ENSMUST00000124922	NA	ENSMUSG00000068036	Afdn	NA	afadin, adherens junction formation factor [Source:MGI Symbol;Acc:MGI:1314653]	protein_coding
Htt_PeakRegion_08043	chr15	82200299	82200998	+	0	NA	intron (ENSMUST00000023100, intron 17 of 18)	-intron (ENSMUST00000023100, intron 17 of 18)	2526	ENSMUST00000083531	ENSMUSG00000065465	ENSMUST00000083531	NA	ENSMUSG00000065465	Mir33	NA	microRNA 33 [Source:MGI Symbol;Acc:MGI:3619343]	miRNA
Htt_PeakRegion_03336	chr6	98921436	98929431	+	0	NA	TTS (ENSMUST00000113322)	-TTS (ENSMUST00000113322)	4352	ENSMUST00000177410	ENSMUSG00000030067	ENSMUST00000177230	NA	ENSMUSG00000030067	Foxp1	NA	forkhead box P1 [Source:MGI Symbol;Acc:MGI:1914004]	protein_coding
Htt_PeakRegion_05353	chr10	45407209	45407404	+	0	NA	intron (ENSMUST00000079390, intron 4 of 4)	-intron (ENSMUST00000079390, intron 4 of 4)	62895	ENSMUST00000079390	ENSMUSG00000063804	ENSMUST00000079390	NA	ENSMUSG00000063804	Lin28b	NA	lin-28 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:3584032]	protein_coding
Htt_PeakRegion_07879	chr15	39608095	39608251	+	0	NA	intron (ENSMUST00000082054, intron 21 of 26)	-intron (ENSMUST00000042917, intron 21 of 26)	-137759	ENSMUST00000022913	ENSMUSG00000022303	ENSMUST00000022913	NA	ENSMUSG00000022303	Dcstamp	NA	dendrocyte expressed seven transmembrane protein [Source:MGI Symbol;Acc:MGI:1923016]	protein_coding
Htt_PeakRegion_00637	chr2	25916021	25924534	+	0	NA	Intergenic	Intergenic	12214	ENSMUST00000145544	ENSMUSG00000058740	ENSMUST00000128502	NA	ENSMUSG00000058740	Kcnt1	NA	potassium channel, subfamily T, member 1 [Source:MGI Symbol;Acc:MGI:1924627]	protein_coding
Htt_PeakRegion_04921	chr9	69887974	69888190	+	0	NA	Intergenic	Intergenic	-101384	ENSMUST00000034754	ENSMUSG00000011958	ENSMUST00000117450	NA	ENSMUSG00000011958	Bnip2	NA	BCL2/adenovirus E1B interacting protein 2 [Source:MGI Symbol;Acc:MGI:109327]	protein_coding
Htt_PeakRegion_02025	chr4	106514592	106514874	+	0	NA	Intergenic	Intergenic	-8398	ENSMUST00000148907	ENSMUSG00000085933	ENSMUST00000177702	NA	ENSMUSG00000085933	Tmem61	NA	transmembrane protein 61 [Source:MGI Symbol;Acc:MGI:3041156]	protein_coding
Htt_PeakRegion_06988	chr12	100933888	100934862	+	0	NA	intron (ENSMUST00000085096, intron 21 of 29)	-intron (ENSMUST00000068411, intron 21 of 29)	-7367	ENSMUST00000180617	ENSMUSG00000097160	ENSMUST00000180617	NA	ENSMUSG00000097160	A630072L19Rik	NA	RIKEN cDNA A630072L19 gene [Source:MGI Symbol;Acc:MGI:3641830]	antisense
Htt_PeakRegion_02424	chr5	23634927	23635536	+	0	NA	Intergenic	Intergenic	-18660	ENSMUST00000088392	ENSMUSG00000062604	ENSMUST00000088392	NA	ENSMUSG00000062604	Srpk2	NA	serine/arginine-rich protein specific kinase 2 [Source:MGI Symbol;Acc:MGI:1201408]	protein_coding
Htt_PeakRegion_02482	chr5	33109791	33109940	+	0	NA	intron (ENSMUST00000011178, intron 1 of 14)	-intron (ENSMUST00000011178, intron 1 of 14)	5646	ENSMUST00000011178	ENSMUSG00000011034	ENSMUST00000011178	NA	ENSMUSG00000011034	Slc5a1	NA	solute carrier family 5 (sodium/glucose cotransporter), member 1 [Source:MGI Symbol;Acc:MGI:107678]	protein_coding
Htt_PeakRegion_02551	chr5	66787915	66788204	+	0	NA	intron (ENSMUST00000130228, intron 1 of 4)	-intron (ENSMUST00000101164, intron 1 of 25)	42170	ENSMUST00000130228	ENSMUSG00000037736	ENSMUST00000118242	NA	ENSMUSG00000037736	Limch1	NA	LIM and calponin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924819]	protein_coding
Htt_PeakRegion_02664	chr5	103837733	103837909	+	0	NA	intron (ENSMUST00000153165, intron 11 of 12)	-intron (ENSMUST00000031256, intron 11 of 19)	36548	ENSMUST00000147184	ENSMUSG00000029312	ENSMUST00000112815	NA	ENSMUSG00000029312	Klhl8	NA	kelch-like 8 [Source:MGI Symbol;Acc:MGI:2179430]	protein_coding
Htt_PeakRegion_04948	chr9	73106539	73106595	+	0	NA	intron (ENSMUST00000174203, intron 4 of 6)	-intron (ENSMUST00000174203, intron 4 of 6)	4057	ENSMUST00000167514	ENSMUSG00000092622	ENSMUST00000034737	NA	ENSMUSG00000092622	Khdc3	NA	KH domain containing 3, subcortical maternal complex member [Source:MGI Symbol;Acc:MGI:1914241]	protein_coding
Htt_PeakRegion_05707	chr10	127604364	127604793	+	0	NA	intron (ENSMUST00000118455, intron 6 of 6)	-intron (ENSMUST00000049149, intron 6 of 88)	8030	ENSMUST00000124182	ENSMUSG00000086499	ENSMUST00000124182	NA	ENSMUSG00000086499	Gm16217	NA	predicted gene 16217 [Source:MGI Symbol;Acc:MGI:3801959]	antisense
Htt_PeakRegion_07710	chr14	76506292	76506500	+	0	NA	TTS (ENSMUST00000134109)	-TTS (ENSMUST00000134109)	1298	ENSMUST00000133224	ENSMUSG00000022010	ENSMUST00000101618	NA	ENSMUSG00000022010	Tsc22d1	NA	TSC22 domain family, member 1 [Source:MGI Symbol;Acc:MGI:109127]	protein_coding
Htt_PeakRegion_01433	chr3	34653260	34655714	+	0	NA	Intergenic	Intergenic	1309	ENSMUST00000184690	ENSMUSG00000098254	ENSMUST00000184690	NA	ENSMUSG00000098254	Gm27611	NA	predicted gene, 27611 [Source:MGI Symbol;Acc:MGI:5530993]	misc_RNA
Htt_PeakRegion_03159	chr6	43164738	43164884	+	0	NA	Intergenic	Intergenic	-2199	ENSMUST00000060243	ENSMUSG00000071481	ENSMUST00000060243	NA	ENSMUSG00000071481	Olfr437	NA	olfactory receptor 437 [Source:MGI Symbol;Acc:MGI:3030271]	protein_coding
Htt_PeakRegion_05771	chr11	5563460	5563671	+	0	NA	Intergenic	Intergenic	-2830	ENSMUST00000104116	ENSMUSG00000077304	ENSMUST00000104116	NA	ENSMUSG00000077304	Gm22471	NA	predicted gene, 22471 [Source:MGI Symbol;Acc:MGI:5452248]	snoRNA
Htt_PeakRegion_03345	chr6	99076887	99077106	+	0	NA	intron (ENSMUST00000177307, intron 1 of 15)	-intron (ENSMUST00000074346, intron 1 of 15)	19209	ENSMUST00000175886	ENSMUSG00000030067	ENSMUST00000177230	NA	ENSMUSG00000030067	Foxp1	NA	forkhead box P1 [Source:MGI Symbol;Acc:MGI:1914004]	protein_coding
Htt_PeakRegion_08460	chr16	74049614	74049929	+	0	NA	intron (ENSMUST00000140062, intron 2 of 3)	-intron (ENSMUST00000116586, intron 2 of 22)	9262	ENSMUST00000158408	ENSMUSG00000089033	ENSMUST00000158408	NA	ENSMUSG00000089033	Gm22163	NA	predicted gene, 22163 [Source:MGI Symbol;Acc:MGI:5451940]	snoRNA
Htt_PeakRegion_04823	chr9	56438552	56439485	+	0	NA	intron (ENSMUST00000034879, intron 1 of 9)	-intron (ENSMUST00000034879, intron 1 of 9)	20374	ENSMUST00000034879	ENSMUSG00000032329	ENSMUST00000034879	NA	ENSMUSG00000032329	Hmg20a	NA	high mobility group 20A [Source:MGI Symbol;Acc:MGI:1914117]	protein_coding
Htt_PeakRegion_02144	chr4	128764489	128765204	+	0	NA	intron (ENSMUST00000106077, intron 4 of 4)	-intron (ENSMUST00000030585, intron 4 of 4)	5588	ENSMUST00000030585	ENSMUSG00000028794	ENSMUST00000106077	NA	ENSMUSG00000028794	A3galt2	NA	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase) [Source:MGI Symbol;Acc:MGI:2685279]	protein_coding
Htt_PeakRegion_02378	chr5	5167736	5167883	+	0	NA	intron (ENSMUST00000155747, intron 3 of 6)	-intron (ENSMUST00000030763, intron 5 of 14)	27546	ENSMUST00000171119	ENSMUSG00000028926	ENSMUST00000153331	NA	ENSMUSG00000028926	Cdk14	NA	cyclin-dependent kinase 14 [Source:MGI Symbol;Acc:MGI:894318]	protein_coding
Htt_PeakRegion_03007	chr5	143719938	143720013	+	0	NA	intron (ENSMUST00000155408, intron 8 of 12)	-intron (ENSMUST00000053287, intron 9 of 17)	-2788	ENSMUST00000141396	ENSMUSG00000051306	ENSMUST00000129606	NA	ENSMUSG00000051306	Usp42	NA	ubiquitin specific peptidase 42 [Source:MGI Symbol;Acc:MGI:1924050]	protein_coding
Htt_PeakRegion_04069	chr7	125537796	125539270	+	0	NA	Intergenic	Intergenic	-13749	ENSMUST00000033004	ENSMUSG00000030748	ENSMUST00000033004	NA	ENSMUSG00000030748	Il4ra	NA	interleukin 4 receptor, alpha [Source:MGI Symbol;Acc:MGI:105367]	protein_coding
